yil,yük_trafiği_ton,iç_hat_ton,dış_hat_ton
2002,896865,181262,715603
2003,964080,188979,775101
2004,1164349,262790,901559
2005,1304241,324597,979644
2006,1360550,389206,971344
2007,1546184,414294,1131890
2008,1644014,424555,1219459
2009,1726345,484833,1241512
2010,2021076,554710,1466366
2011,2249473.235,617834.589,1631638.646
2012,2249133,633076,1616057
2013,2595317,744028,1851289
2014,2893000.13,810858,2082142.13
2015,3072831,871327,2201504
2016,3076913.699,857335.195,2219578.504
2017,3481210.565,884810.799,2596399.766
2018,3855230.638,886024.804,2969205.834
2019,4090167.807,833768.473,3256399.334
2020,2490521.167,500551.220,1989969.947
2021,3432517.384,698343.830,2734173.554
2022,4163141.561,784022.040,3379119.521
2023,4447864.916,838756.868,3609108.048
2024,5156700.958,898648.336,4258052.622
2025,5102994.241,930061.667,4172932.574
2026,5371366,984446,4386920
2027,5539852,1017384,4522468