yil,yolcu_trafiği_transit_dahil,yolcu_trafiği,iç_hat,dış_hat,direkt_transit
2002,33783892,33783892,8729279,25054613,
2003,34443655,34443655,9147439,25296216,
2004,45057371,45057371,14460864,30596507,
2005,55570472,55023426,20529469,35042957,547046
2006,62271876,61655659,28774857,32880802,616217
2007,70715263,70296532,31949341,38347191,418731
2008,79887380,79438289,35832776,43605513,449091
2009,86001343,85508508,41226959,44281549,492835
2010,103536513,102800392,50575426,52224966,736121
2011,117791800,117120269,58258324,59362145,671531
2012,130954919,130277023,64721316,65630304,677896
2013,149540869,148975422,76148526,73281895,565447
2014,165653346,165192241,85416166,80304068,461105
2015,181171606,180809133,97041210,84033321,362473
2016,174045146,173635537,102499358,71244179,409609
2017,193282844,192751343,109511390,83533953,531501
2018,210872639,210423164,112911108,97587056,449475
2019,209430338,208892696,99946572,108427124,537642
2020,82203685,82116140,49740303,31875837,87545
2021,128350222,128155762,68466177,59689585,194460
2022,182144531,181708339,78323824,103465515,436192
2023,214037575,213594163,90390766,123302397,443412
2024,230438911,229896231,95356111,134935120,542680
2025,245096783,244542580,101584476,143957104,554203
2026,258227127,257645585,108434589,149210996,581542
2027,265363604,264754269,110971373,153782896,609335